0,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1195,2022-06-06 11:39:45,ab28d7,42.390726,-81.405161,193.500025,275.02242,0.0,UAL2127,0.0,0.0,0.0,2625.0,9761.22,9997.44,1654515584.813,1654515584.926
1196,2022-06-06 20:27:50,ab2ad9,35.603338,-119.939848,203.761391,142.910719,-0.32512,N819AP,0.0,0.0,0.0,3267.0,5135.88,5372.1,1654547265.833,1654547269.288
1197,2022-06-06 20:40:30,ab4ea8,40.556442,-74.778748,195.793088,230.608259,0.0,AAL2144,0.0,0.0,0.0,7360.0,6705.6,6934.2,1654548029.619,1654548029.94
1198,2022-06-06 22:55:55,ab586f,40.997864,-73.235596,214.767247,52.487388,-0.65024,AAL2148,0.0,0.0,0.0,6540.0,5886.45,6084.57,1654556154.994,1654556154.994
1199,2022-06-06 14:21:10,ab5f00,35.406876,-120.471783,202.830597,318.957553,-0.32512,SWA2401,0.0,0.0,0.0,2045.0,7178.04,7559.04,1654525269.146,1654525269.945
1200,2022-06-06 22:01:05,ab5f00,37.445142,-103.903655,251.420525,90.145424,0.0,SWA49,0.0,0.0,0.0,6531.0,9593.58,10027.92,1654552864.781,1654552864.812
1201,2022-06-06 12:02:35,ab627c,38.182587,-110.490953,195.445054,244.83051,0.0,SWA945,0.0,0.0,0.0,1447.0,11841.48,12310.11,1654516954.133,1654516954.333
1202,2022-06-06 17:17:15,ab62ad,36.860062,-106.462911,214.700415,252.933201,0.0,SWA203,0.0,0.0,0.0,6073.0,10363.2,10774.68,1654535834.574,1654535834.9165
1203,2022-06-06 12:21:15,ab6339,35.705916,-104.363403,208.560572,312.083669,0.0,SWA1218,0.0,0.0,0.0,2572.0,10363.2,10805.16,1654518074.694,1654518074.966
1204,2022-06-06 18:23:45,ab6339,33.330603,-117.648701,190.123353,307.464219,-0.32512,SWA559,0.0,0.0,0.0,2440.0,5795.01,6073.14,1654539824.769,1654539824.9135
1205,2022-06-06 01:15:25,ab635d,35.16861,-116.318253,176.972067,55.811683,-0.32512,SWA1063,0.0,0.0,0.0,NaN,4682.49,4876.8,1654478008.099,1654478014.305
1206,2022-06-06 18:45:55,ab678e,49.485992,-124.437802,198.055228,139.985145,-0.32512,DAL2971,0.0,0.0,0.0,5775.0,6610.35,6621.78,1654541154.7225,1654541154.97
1207,2022-06-06 07:17:20,ab678e,51.150668,-127.31514,237.880708,306.911356,0.0,DAL2975,0.0,0.0,0.0,6676.0,8610.6,8564.88,1654499823.119,1654499823.119
1208,2022-06-06 02:55:40,ab6b02,41.19397,-72.781311,222.24993,56.341959,-0.32512,AAL2120,0.0,0.0,0.0,7065.0,4472.94,4598.67,1654484139.995,1654484139.995
1209,2022-06-06 10:49:20,ab6b02,40.637357,-74.727131,185.652284,235.576587,-0.32512,AAL2159,0.0,0.0,0.0,3420.0,6309.36,6408.42,1654512559.967,1654512560.0
1210,2022-06-06 12:00:00,ab77d5,42.409158,-80.907701,200.200032,275.338031,0.0,UAL2389,0.0,0.0,0.0,3052.0,10359.39,10614.66,1654516799.9055,1654516799.9765
1211,2022-06-06 01:47:40,ab77d5,41.402161,-79.837334,251.283119,96.819481,0.0,UAL2606,0.0,0.0,0.0,6521.0,8328.66,8542.02,1654480059.893,1654480059.924
1212,2022-06-06 14:47:20,ab8880,41.871506,-80.538664,203.502108,249.420616,0.0,AAL408,0.0,0.0,0.0,1272.0,9890.76,10149.84,1654526839.543,1654526839.984
1213,2022-06-06 02:04:40,ab9078,42.366261,-81.575147,195.638258,277.812384,0.0,UAL2179,0.0,0.0,0.0,2767.0,9761.22,9997.44,1654481079.858,1654481079.98
1214,2022-06-06 16:01:40,ab97ff,35.122267,-119.669151,203.334926,138.708428,-0.32512,ASA214,0.0,0.0,0.0,6340.0,5372.1,5615.94,1654531299.454,1654531299.97
1215,2022-06-06 20:49:40,ab9f54,35.079208,-119.628894,203.01449,142.650651,-0.32512,UAL2166,0.0,0.0,0.0,3675.0,5120.64,5387.34,1654548579.628,1654548579.628
1216,2022-06-06 15:00:10,ab9f54,35.058701,-119.745483,199.743442,135.558058,-2.60096,UAL2604,0.0,0.0,0.0,3631.0,5120.64,5334.0,1654527609.62,1654527609.872
1217,2022-06-06 17:42:45,ab9f54,35.981964,-121.282625,184.441972,315.240774,-0.32512,UAL2652,0.0,0.0,0.0,2457.0,5387.34,5638.8,1654537364.472,1654537364.807
1218,2022-06-06 18:30:30,aba91b,36.124443,-108.109501,208.075905,224.607569,0.0,UAL1866,0.0,0.0,0.0,621.0,9608.82,10119.36,1654540229.7,1654540229.928
1219,2022-06-06 02:06:35,aba9e7,35.713124,-108.625352,215.188566,225.282243,0.0,SWA2566,0.0,0.0,0.0,1452.0,8957.31,9384.03,1654481194.6035,1654481194.6035
1220,2022-06-06 07:31:25,abaa1a,38.00632,-109.203597,258.042238,64.605126,0.0,SWA1448,0.0,0.0,0.0,7311.0,10005.06,10485.12,1654500684.8315,1654500684.8315
1221,2022-06-06 04:38:05,abaa1a,38.102634,-110.698003,201.388564,244.615471,0.0,SWA3070,0.0,0.0,0.0,624.0,9753.6,10210.8,1654490284.572,1654490284.5725
1222,2022-06-06 21:22:55,abaadd,35.707672,-110.989819,195.776004,246.327953,0.0,SWA1293,0.0,0.0,0.0,2720.0,7635.24,8001.0,1654550572.9375,1654550574.7605
1223,2022-06-06 21:45:10,abaeb2,37.166701,-80.115469,221.820832,227.234805,0.0,SWA125,0.0,1.0,0.0,1052.0,10576.56,10980.42,1654551909.703,1654551909.703
1224,2022-06-06 16:50:40,abb1de,37.220888,-104.553772,257.807799,110.147601,0.0,SWA1233,0.0,0.0,0.0,1047.0,9273.54,9700.26,1654534239.642,1654534239.813
