0,name,city,country,iata,icao,latitude,longitude,altitude,dst,tz
1,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,45.4706,-73.740799,118.0,A,America/Toronto
2,Vancouver International Airport,Vancouver,Canada,YVR,CYVR,49.193901,-123.183998,14.0,A,America/Vancouver
3,Calgary International Airport,Calgary,Canada,YYC,CYYC,51.113899,-114.019997,3557.0,A,America/Edmonton
4,Victoria International Airport,Victoria,Canada,YYJ,CYYJ,48.6469,-123.426003,63.0,A,America/Vancouver
5,Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,43.6772,-79.6306,569.0,A,America/Toronto
6,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941,83.0,E,Europe/London
7,Bergen Airport Flesland,Bergen,Norway,BGO,ENBR,60.2934,5.21814,170.0,E,Europe/Oslo
8,Oslo Lufthavn,Oslo,Norway,OSL,ENGM,60.121,11.0502,681.0,E,Europe/Oslo
9,Cape Town International Airport,Cape Town,South Africa,CPT,FACT,-33.964802,18.6017,151.0,U,Africa/Johannesburg
10,OR Tambo International Airport,Johannesburg,South Africa,JNB,FAOR,-26.1392,28.246,5558.0,U,Africa/Johannesburg
11,Barcelona International Airport,Barcelona,Spain,BCN,LEBL,41.2971,2.07846,12.0,E,Europe/Madrid
12,Toulouse-Blagnac Airport,Toulouse,France,TLS,LFBO,43.629101,1.36382,499.0,E,Europe/Paris
13,Paris-Orly Airport,Paris,France,ORY,LFPO,48.723333,2.379444,291.0,E,Europe/Paris
14,Auckland International Airport,Auckland,New Zealand,AKL,NZAA,-37.008099,174.792007,23.0,Z,Pacific/Auckland
15,Christchurch International Airport,Christchurch,New Zealand,CHC,NZCH,-43.489399,172.531998,123.0,Z,Pacific/Auckland
16,Taiwan Taoyuan International Airport,Taipei,Taiwan,TPE,RCTP,25.0777,121.233002,106.0,U,Asia/Taipei
17,Fukuoka Airport,Fukuoka,Japan,FUK,RJFF,33.585899,130.451004,32.0,U,Asia/Tokyo
18,Osaka International Airport,Osaka,Japan,ITM,RJOO,34.7855,135.438004,50.0,U,Asia/Tokyo
19,Tokyo Haneda International Airport,Tokyo,Japan,HND,RJTT,35.552299,139.779999,35.0,U,Asia/Tokyo
20,El Dorado International Airport,Bogota,Colombia,BOG,SKBO,4.70159,-74.1469,8361.0,U,America/Bogota
