0,name,city,country,iata,icao,latitude,longitude,altitude,dst,tz
54,Los Angeles International Airport,Los Angeles,United States,LAX,KLAX,33.942501,-118.407997,125.0,A,America/Los_Angeles
55,Newark Liberty International Airport,Newark,United States,EWR,KEWR,40.692501,-74.168701,18.0,A,America/New_York
56,Ronald Reagan Washington National Airport,Washington,United States,DCA,KDCA,38.8521,-77.037697,15.0,A,America/New_York
57,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,KFLL,26.072599,-80.152702,9.0,A,America/New_York
58,Miami International Airport,Miami,United States,MIA,KMIA,25.7932,-80.290604,8.0,A,America/New_York
59,Seattle Tacoma International Airport,Seattle,United States,SEA,KSEA,47.449001,-122.308998,433.0,A,America/Los_Angeles
60,Kenai Municipal Airport,Kenai,United States,ENA,PAEN,60.573101,-151.244995,99.0,A,America/Anchorage
61,Bob Hope Airport,Burbank,United States,BUR,KBUR,34.200699,-118.359001,778.0,A,America/Los_Angeles
62,Tampa International Airport,Tampa,United States,TPA,KTPA,27.9755,-82.533203,26.0,A,America/New_York
63,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,DFW,KDFW,32.896801,-97.038002,607.0,A,America/Chicago
64,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,KATL,33.6367,-84.428101,1026.0,A,America/New_York
65,Nashville International Airport,Nashville,United States,BNA,KBNA,36.1245,-86.6782,599.0,A,America/Chicago
66,La Guardia Airport,New York,United States,LGA,KLGA,40.777199,-73.872597,21.0,A,America/New_York
67,Portland International Airport,Portland,United States,PDX,KPDX,45.588699,-122.598,31.0,A,America/Los_Angeles
68,San Diego International Airport,San Diego,United States,SAN,KSAN,32.733601,-117.190002,17.0,A,America/Los_Angeles
69,Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,KSJC,37.362598,-121.929001,62.0,A,America/Los_Angeles
70,Denver International Airport,Denver,United States,DEN,KDEN,39.861698,-104.672997,5431.0,A,America/Denver
71,Philadelphia International Airport,Philadelphia,United States,PHL,KPHL,39.871899,-75.241096,36.0,A,America/New_York
72,Ted Stevens Anchorage International Airport,Anchorage,United States,ANC,PANC,61.1744,-149.996002,152.0,A,America/Anchorage
73,Opa-locka Executive Airport,Miami,United States,OPF,KOPF,25.907,-80.278397,8.0,A,America/New_York
74,John F Kennedy International Airport,New York,United States,JFK,KJFK,40.639801,-73.7789,13.0,A,America/New_York
75,Sacramento International Airport,Sacramento,United States,SMF,KSMF,38.6954,-121.591003,27.0,A,America/Los_Angeles
76,Chicago O'Hare International Airport,Chicago,United States,ORD,KORD,41.9786,-87.9048,672.0,A,America/Chicago
77,John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA,KSNA,33.675701,-117.867996,56.0,A,America/Los_Angeles
78,McCarran International Airport,Las Vegas,United States,LAS,KLAS,36.080101,-115.152,2181.0,A,America/Los_Angeles
79,Orlando International Airport,Orlando,United States,MCO,KMCO,28.429399,-81.308998,96.0,A,America/New_York
80,Incheon International Airport,Seoul,South Korea,ICN,RKSI,37.469101,126.450996,23.0,U,Asia/Seoul
81,Palma De Mallorca Airport,Palma de Mallorca,Spain,PMI,LEPA,39.551701,2.73881,27.0,E,Europe/Madrid
82,Addison Airport,Addison,United States,ADS,KADS,32.968601,-96.836403,644.0,A,America/Chicago
83,Evergreen Regional Airport/Middleton Field,Evergreen,United States,\N,KGZH,31.4158,-87.043999,259.0,A,\N
